"";"STN";"Weeknr";"Degrees_Celsius_min.mean";"Degrees_Celsius_avg.mean";"Degrees_Celsius_max.mean";"Rainfall_mm.mean";"LON.east.";"LAT.north.";"ALT.m.";"NAME"
"1377";348;43;7.42857142857143;10.6857142857143;13.9142857142857;10.1714285714286;4.926;51.97;-0.7;"CABAUW"
"1378";348;52;3.02857142857143;5.77142857142857;8.37142857142857;21.0571428571429;4.926;51.97;-0.7;"CABAUW"
"1379";348;15;5.02857142857143;10.2285714285714;15.2571428571429;8.22857142857143;4.926;51.97;-0.7;"CABAUW"
"1380";348;44;5.82857142857143;9.51428571428571;13.5428571428571;15.0857142857143;4.926;51.97;-0.7;"CABAUW"
"1381";348;45;5.85714285714286;8.85714285714286;11.9142857142857;19.8;4.926;51.97;-0.7;"CABAUW"
"1382";348;21;11.0857142857143;16;20.8857142857143;17.7142857142857;4.926;51.97;-0.7;"CABAUW"
"1383";348;12;2.65714285714286;6.57142857142857;10.6;10.0285714285714;4.926;51.97;-0.7;"CABAUW"
"1384";348;14;5.17142857142857;9.65714285714286;14.7142857142857;16.5142857142857;4.926;51.97;-0.7;"CABAUW"
"1385";348;38;10.5142857142857;14.9428571428571;19.7428571428571;11.4571428571429;4.926;51.97;-0.7;"CABAUW"
"1386";348;16;4.65714285714286;10.2857142857143;15.8285714285714;9.6;4.926;51.97;-0.7;"CABAUW"
"1387";348;37;11.6285714285714;16.0857142857143;21.1428571428571;17.8;4.926;51.97;-0.7;"CABAUW"
"1388";348;18;5.65714285714286;11.1428571428571;16.0571428571429;22.3428571428571;4.926;51.97;-0.7;"CABAUW"
"1389";348;33;13.0285714285714;17.2285714285714;21.4285714285714;39;4.926;51.97;-0.7;"CABAUW"
"1390";348;32;13.1142857142857;17.9142857142857;22.7142857142857;19.7428571428571;4.926;51.97;-0.7;"CABAUW"
"1391";348;7;-0.2;3.57142857142857;7.68571428571429;9.28571428571429;4.926;51.97;-0.7;"CABAUW"
"1392";348;13;4.25714285714286;8.91428571428571;13.2571428571429;23.0857142857143;4.926;51.97;-0.7;"CABAUW"
"1393";348;34;12.4571428571429;17.4;22.7714285714286;43;4.926;51.97;-0.7;"CABAUW"
"1394";348;17;4.45714285714286;9.37142857142857;13.8857142857143;24.4857142857143;4.926;51.97;-0.7;"CABAUW"
"1395";348;8;1.68571428571429;4.85714285714286;8.25714285714286;26.5142857142857;4.926;51.97;-0.7;"CABAUW"
"1396";348;4;1.34285714285714;4.25714285714286;6.74285714285714;19.3142857142857;4.926;51.97;-0.7;"CABAUW"
"1397";348;6;1.02857142857143;3.6;6.02857142857143;20.4857142857143;4.926;51.97;-0.7;"CABAUW"
"1398";348;27;12.6857142857143;18.5428571428571;23.9428571428571;16.8571428571429;4.926;51.97;-0.7;"CABAUW"
"1399";348;1;2.31428571428571;4.77142857142857;7.4;21.8;4.926;51.97;-0.7;"CABAUW"
"1400";348;35;11.6571428571429;16.9428571428571;22.3142857142857;21;4.926;51.97;-0.7;"CABAUW"
"1401";348;10;1.51428571428571;6.25714285714286;11.3714285714286;13.4;4.926;51.97;-0.7;"CABAUW"
"1402";348;47;3.51428571428571;6.4;9.17142857142857;14.4857142857143;4.926;51.97;-0.7;"CABAUW"
"1403";348;36;12.2285714285714;16.2;20.5142857142857;46.7142857142857;4.926;51.97;-0.7;"CABAUW"
"1404";348;28;12.9428571428571;17.5142857142857;22.2857142857143;26.9428571428571;4.926;51.97;-0.7;"CABAUW"
"1405";348;11;2.11428571428571;6.37142857142857;10.6857142857143;7.88571428571429;4.926;51.97;-0.7;"CABAUW"
"1406";348;30;15.0857142857143;19.5142857142857;24.1714285714286;39.8571428571429;4.926;51.97;-0.7;"CABAUW"
"1407";348;23;11.6571428571429;16.9714285714286;22.2;17.3142857142857;4.926;51.97;-0.7;"CABAUW"
"1408";348;29;14.9428571428571;20.4285714285714;25.7714285714286;14.6;4.926;51.97;-0.7;"CABAUW"
"1409";348;53;2.66666666666667;5;7.33333333333333;41.6666666666667;4.926;51.97;-0.7;"CABAUW"
"1410";348;2;2.6;5.34285714285714;7.74285714285714;37;4.926;51.97;-0.7;"CABAUW"
"1411";348;24;11.4;16.3714285714286;20.9428571428571;19.1428571428571;4.926;51.97;-0.7;"CABAUW"
"1412";348;22;11.4857142857143;16.2571428571429;20.7428571428571;26.1428571428571;4.926;51.97;-0.7;"CABAUW"
"1413";348;26;12.1428571428571;17.4857142857143;22.2;12.2285714285714;4.926;51.97;-0.7;"CABAUW"
"1414";348;31;13.2;18.7142857142857;23.7714285714286;12.9428571428571;4.926;51.97;-0.7;"CABAUW"
"1415";348;25;11.7714285714286;16.5428571428571;20.7714285714286;18.7714285714286;4.926;51.97;-0.7;"CABAUW"
"1416";348;9;0.228571428571429;3.6;7.25714285714286;20.8857142857143;4.926;51.97;-0.7;"CABAUW"
"1417";348;41;7.91428571428571;12.0285714285714;16.0857142857143;5.74285714285714;4.926;51.97;-0.7;"CABAUW"
"1418";348;3;-0.628571428571429;2.11428571428571;4.71428571428571;19.5714285714286;4.926;51.97;-0.7;"CABAUW"
"1419";348;5;1.6;4.42857142857143;7.48571428571429;28.6285714285714;4.926;51.97;-0.7;"CABAUW"
"1420";348;50;2.6;5.11428571428571;7.65714285714286;29.2857142857143;4.926;51.97;-0.7;"CABAUW"
